,label,x,y,depths,min_conc,max_conc,mean_conc
0,S.RF,540294,150174,"2,25,30.5 m",0.0,0.0,0.0
1,S.DI,534650,151350,"2,25,30.5 m",0.0,0.39,0.07494782608695652
2,S.BY,533638,151085,"2,25,30.5 m",0.0,0.0085,0.0022391304347826086
3,S.03,534305,151414,"2,25,30.5 m",0.0025,0.39,0.08872727272727274
4,S.06,533150,150992,2 m,0.0,0.0085,0.0013826086956521741
5,S.08,532737,150739,2 m,0.0,0.0045,0.0003879310344827587
6,S.04,534123,150795,"2,25,30.5 m",0.0,0.02,0.001168141592920354
7,S.05,533418,150583,2 m,0.0,0.001,2.2522522522522523e-05
8,S.07,532954,150495,2 m,0.0,0.0015,0.00010869565217391305
9,S.02,534977,151233,"2,25,30.5 m",0.0,0.0775,0.007891891891891892
10,S.01,536333,150437,2 m,0.0,0.0,0.0
